x (m),y (m),u_x (m),u_y (m),u_magnitude (m),von_mises (GPa),stress_xx (GPa),stress_yy (GPa),stress_xy (GPa)
15.75,0.5,12.127150451182077,-246.30417282923716,246.60254120985925,37.17358151390584,36.622787755952295,-0.7969979499927177,-1.4065744920502286
15.5,0.5,12.07497341034717,-240.24963061392054,240.55288398392952,39.44506749204822,38.986419113816716,-0.8045221466441448,-0.3734724230993945
15.25,0.5,12.01640283010151,-234.22201573816255,234.5300547764046,41.33212567209942,40.73729761464803,-0.8577721171320595,-1.5440529795138025
15.0,0.5,11.958415028259163,-228.2239508911148,228.5370329953946,43.82365487697383,43.334682069158006,-0.850783348396144,-0.4484815903528197
14.75,0.5,11.893096159261777,-222.25606091725172,222.57403790807803,45.978271711937424,45.42064317184317,-0.6879550819988138,-1.998465607944246
14.5,0.5,11.828133445802113,-216.32057465736932,216.643706949697,46.532751207945466,46.22951274009288,-0.4669621487617166,-1.344478429269421
14.25,0.5,11.759483331372962,-210.41802153435464,210.74636232839933,48.036076221878695,47.68041318560736,-0.6012555277448864,-1.193840899123808
14.0,0.5,11.688612891517277,-204.55224158016355,204.88592730296858,53.53546076320012,52.9777277068269,-0.9567384845307874,-0.257373644934124
13.75,0.5,11.609098993807056,-198.72208287559567,199.060888679477,55.51614421941504,54.911333599222225,-0.74923270505028,-2.191587435783267
13.5,0.5,11.53087506353383,-192.93128289376418,193.27555716842338,55.80710010930075,55.473334517572184,-0.5199050708322017,-1.4877607558278305
13.25,0.5,11.448636397774118,-187.1802196131468,187.53001330398902,57.288841126996346,56.9007154288719,-0.6513921334433865,-1.33844396240453
13.0,0.5,11.364473809497731,-181.47293399349252,181.82842747264039,63.6275700462946,62.90993516109759,-1.226847809381814,-0.152348094725578
12.75,0.5,11.270421575617139,-175.80754333420234,176.16842706824505,65.56095363834811,64.77681435635814,-1.1149046841950205,-2.152629276462009
12.5,0.5,11.178701471575696,-170.18918402256605,170.55591964179214,66.81166766926279,66.10547880972241,-1.1802393002040374,-0.9209584061320893
12.25,0.5,11.080856703724434,-164.6187770949584,164.9912941870815,72.49874023232783,71.77457247740958,-1.1960838462329126,-0.7017860936696906
12.0,0.5,10.975508640709176,-159.0987062734329,159.47683257389568,74.17998211470434,73.23613647658293,-1.246642135349061,-2.7577906219622577
11.75,0.5,10.87245019718463,-153.62803431203298,154.01228230199513,72.4818640142285,72.06767047946352,-0.6656638983615685,-1.6123067085554394
11.5,0.5,10.764545846172352,-148.21274684664988,148.60314187493975,75.34203385806397,74.96783705911558,-0.640275653829839,-1.3311039251831305
11.25,0.5,10.653790969215343,-142.85381019480306,143.25053001363923,83.5113696690431,82.58034060200052,-1.5896881581557882,0.009714696799388549
11.0,0.5,10.530646093619676,-137.5498527746106,137.95237042351292,85.60226115535612,84.55985411912972,-1.5619541855335821,-2.4525922319947617
10.75,0.5,10.411495849241081,-132.3076189602109,132.7166352826168,89.19753323294309,88.29710449382411,-1.5531244200692007,-0.39251435163014126
10.5,0.5,10.27877908672261,-127.12776283588167,127.54262574986382,92.90570778947573,91.65014507295557,-1.763409275415933,-3.1603163880235403
10.25,0.5,10.150262252307702,-122.01089863221794,122.43237810657762,90.33547502949914,89.9504467748368,-0.5925638096867587,-1.6575552970911602
10.0,0.5,10.015730291761928,-116.96183576064881,117.38988831146533,94.1156746969227,93.86396791903874,-0.3918937366881685,-1.6562720100325026
9.75,0.5,9.875833558232136,-111.98155681657452,112.41619614421052,97.66634652955085,97.39757251750927,-0.45746565093489217,-1.5023746902482582
9.5,0.5,9.73133300818233,-107.07203180773247,107.51334260245196,100.82882488845826,100.49500788988439,-0.5766345040667245,-1.5463707646688538
9.25,0.5,9.58250229429338,-102.23571948985463,102.68381902631194,104.30103096777941,104.00077295322197,-0.5371664730923561,-1.1659375724993497
9.0,0.5,9.427094963978996,-97.47745271344832,97.93224140681367,109.75794249677146,109.38583700165992,-0.6433969858493789,-1.6840847386466364
8.75,0.5,9.267008326873007,-92.79411736506785,93.25570042036207,110.59275165957479,110.20115481435158,-0.6504673198622143,-1.9030182151931134
